#,Card Number,Title,Sold Price,Sold Date,URL
11,#CPA-DC,2025 Bowman Draft Chrome Dean Curley 1st Bowman Auto #CPA-DC Guardians,$19.99,"Feb 28, 2026",https://www.ebay.com/itm/136993405818?_skw=2025+bowman+%23CPA-&itmmeta=01KJKYN48PMK0RY0F58G04BPBB&hash=item1fe5717b7a:g:vN4AAeSwYTJpeops&itmprp=enc%3AAQALAAAA8GfYFPkwiKCW4ZNSs2u11xDGUsKO29KGOHU6Uw1xMKkFzezRFo5IGx90CGmu6XeYMjl6y6HpYOvs5QQDtqpzTaCRarzECaCCc57e08DyRKqx7%2BKVQrQmeXH9QV4A35ZUhxsuNI4yRq1D7nS%2BQb3%2FrsITLXXXeqolviSpsoEUfgc3jY%2F4de4T2LeeObft1xXLEGytLsldSRzNATgr9GB3iwcO736tRMc8Abwz7xhGfvCDJQMApcuaMUx4ZCK9XDi6xd2HpU2IQTLHYTBaik4WhOW%2FzkaTAO6riCVHC7ovJ0ay%2B0qmI8Y421%2BIK8tio25LRg%3D%3D%7Ctkp%3ABk9SR_7E1P6UZw
12,#CPA-MV,Mitch Voit 2025 Bowman Draft 1st Chrome Auto #CPA-MV New York Mets,$19.99,"Feb 28, 2026",https://www.ebay.com/itm/157695433482?_skw=2025+bowman+%23CPA-&itmmeta=01KJKYN48P45SA2PN8NCQ356C6&hash=item24b7615b0a:g:qXsAAeSwbmhpmJO9&itmprp=enc%3AAQALAAAA0GfYFPkwiKCW4ZNSs2u11xBEtXKitf%2FTxkfbujxJRTNmtgcXVTMsvivCXlg9r6OEufysICEragfHDopDwnnm03WsbSbpjsdE6m5%2B0Jk1UP0JEW86WALFBoFYIeWnfI2J53bJ61gYqkSoav1jFCuSgidLaDYIzKIHiLD6lSAam2z5BO8uVDEIumkHHjxZNJ3VcQE%2BwqBAFPoyDxnTzNYD0Nj2xgAQG8A%2BkjnGIJWrdzyCIIcGEfxS%2FJfBh9oxSkpz9PGGbdow8Nv%2BAtCgg8JGqaw%3D%7Ctkp%3ABk9SR4DF1P6UZw
13,#CPA-RM,2025 Bowman Chrome Richard Matic 1st Bowman Auto #CPA-RM New York Yankees,$17.99,"Feb 28, 2026",https://www.ebay.com/itm/257378573713?_skw=2025+bowman+%23CPA-&itmmeta=01KJKYN48PH3Z1Y7W45SDGEREW&hash=item3becf55d91:g:CBMAAeSwJ2xpnwfS&itmprp=enc%3AAQALAAAA8GfYFPkwiKCW4ZNSs2u11xBkZ3jJdo7hFjohL2dfpZhqMEUZX5y3fhtmxWMZU6F%2BhrrYigzCdD5vFJu8nPkjkztxo16ideuWiKS2cDIkFm0ACqh1Ve0f%2FpoSYGD0%2Bx4WLFlxf11FTAygsHv5dzT3OGxctOIVi354c7buB%2FedyD3o4P--1lEmVrtVXnnDxyE%2FSbJdIN31%2FKAAsyhucOp5%2FqZoFLjeVZY7dbznliWPF1KWhcQosLQikWg4dQeo0eGFQtwc0OyPoJhkftSBVM1LQUps6wV6sGUmACxuQbtpetqz1C2rLCNHpxNicoF9PBLs5Q%3D%3D%7Ctkp%3ABk9SR4DF1P6UZw
14,#CPA-ME,Matthew Etzel 2025 Bowman Chrome - 1st Bowman Auto #CPA-ME Tampa Bay Rays,$2.50,"Feb 28, 2026",https://www.ebay.com/itm/358270549261?_skw=2025+bowman+%23CPA-&epid=12086309665&itmmeta=01KJKYN48PEXE1A6V4D9D7E97W&hash=item536a96bd0d:g:FZgAAeSw8fVpo2DE&itmprp=enc%3AAQALAAAA0GfYFPkwiKCW4ZNSs2u11xD2t7a9jm8ugLE7cpZ2loZwb0uYvbfL58tK%2Frd%2BJp1wSFY4daTpek0GU9BSt%2BQ5vQmOw0awtNikEkzDbBfCKFpDO5tIWlaXVc2DvVA4rs%2BLd4Ra4xc4v5vpg9n8PEIKB0VZYktGzCo2Qw%2FQb4SHxf0K1fvQnHMocqhsf0Vewd8ulvjzSpuz5bmAu6pG7nL1vgGgwST9vWzEq2aXAzXSUKh4ZjokjkFGDI9UC6dZq1PaKp8DbURVKQM8ACaqBM0pRj8%3D%7Ctkp%3ABk9SR4DF1P6UZw
15,#CPA-CB,2025 Bowman Chrome Prospect Autographs Caden Bodine #CPA-CB Auto 1st,$19.99,"Feb 28, 2026",https://www.ebay.com/itm/227233747691?_skw=2025+bowman+%23CPA-&itmmeta=01KJKYN48PQJREW44KQ5K4Y045&hash=item34e82fd2eb:g:sAAAAeSw3dBpoLE7&itmprp=enc%3AAQALAAAA8GfYFPkwiKCW4ZNSs2u11xDim676ezQEY60%2Fl0uXNEPWGsnFWv7gIh9ahNYtu2y%2BCRLe2f6HXjWzIbB0NVEwcOGQgQ6PxK%2FezDCFmo8AZCUdI4zdF1%2BiJN3iYkhsz4rfVb75tEdYwrPaSxtwOuJFE0CVQ36soUgl%2BM%2FnWe84ysXATDAaH5puFzGzB4zPB7%2BtOsSLybVA7BxEM8wiUsyCh1q3YoshhBdy0rTkqRe7z5rjSR%2BWB9a8JvaltYg00xumLdbgM0Iu9YUwe%2FgNwlXbYImrngTOaaMzKb7wGUPcHEd4f8hKaQhk%2BzoPO7qGh11YJA%3D%3D%7Ctkp%3ABk9SR4DF1P6UZw
16,#CPA-MWI,"2025 Bowman Draft - Chrome Prospect Autographs Max Williams #CPA-MWI (AU, RC)",$7.67,"Feb 28, 2026",https://www.ebay.com/itm/177846674498?_skw=2025+bowman+%23CPA-&epid=16090144748&itmmeta=01KJKYN48Q9T4V4GTEFFGK3W60&hash=item29687ce442:g:Lj0AAeSwExppiN4f&itmprp=enc%3AAQALAAAA8GfYFPkwiKCW4ZNSs2u11xCeaVtuFoLlpLsc%2BKW2T0OT3AYbsp%2BUUndb4zdBZ7NRJa%2BKM5zb0UaWIg6Md4kFE1bbQPrayPyis4CfHoMntt0PGpQ48e76P7S%2B8UxavrjmoXoH%2BmrDV8%2FSpAxttU8kmb13lSCRa4u5FlQnhvkCP8J4justJZTIPOhzRjhtgyj%2FZZU8iHRGauXGuX1E8c4PBK4sPZOt%2Fa8cw3vNyb1047ANkV4acEW3xPB23DeUby5eQyzUZOYLSTTn4%2Fe0i5imNonfcSLc%2FKRDzNVTyUEx3lWJq8BIK8Zctpe37L5ln56d3Q%3D%3D%7Ctkp%3ABk9SR4DF1P6UZw
17,#CPA-AWE,2025 Bowman Draft #CPA-AWE Aidan West Chrome Prospect Autographs,$6.11,"Feb 28, 2026",https://www.ebay.com/itm/127701731839?_skw=2025+bowman+%23CPA-&epid=13090161922&itmmeta=01KJKYN48QN6BS0Q5GR1VZ7NC3&hash=item1dbb9dc9ff:g:xnQAAeSwQ8xpmlCc&itmprp=enc%3AAQALAAAA8GfYFPkwiKCW4ZNSs2u11xC2NO3RcVZfsnD6wPmd8hnM1hQtf9CFYeUb8Tje9cANHoOuJ0UFeme2LM0W1itO1F6ewRyYqvGIbq4BdMrn7ZsQAZ6o3xgcw%2BhGv4UKIlFk%2BN8%2Buu8DwOHYS6ig7IGGy3i0Q0epSxjPHI3sIgpOme3bEVdJ2DjUgmPi%2BRR%2F6Dx5Ka6OMY6HcJPlwN4X16M9cy%2FYQ7HbxQHuE0iLeLoSWNMHktTqBDeCUhyCel0N5XUR0bN5iuKguHNtU%2FfFHxwGMMRQQX1kDkP6WVRJrTC2LqPXdPemQLSRJ6AWSfXsjRhY9w%3D%3D%7Ctkp%3ABk9SR4DF1P6UZw
18,#CPA-PF,2025 Bowman Draft #CPA-PF Patrick Forbes Chrome Prospect Autographs,$4.25,"Feb 28, 2026",https://www.ebay.com/itm/127701731844?_skw=2025+bowman+%23CPA-&itmmeta=01KJKYN48QVG9VWZPB61486WHV&hash=item1dbb9dca04:g:3DMAAeSwJOFpmlBm&itmprp=enc%3AAQALAAAA8GfYFPkwiKCW4ZNSs2u11xAVKEaTczuOcDSEAPnhnj8WXHc6fhKmkvSjVxsxUQU6g2jJeSiY0h8A6V5L3ESD9uSVbIWNImTu0xwgH9U1BR4nyi1nG4Ps9%2FnbY9zO%2BUu%2F1%2BpfKENE4jkf3RG%2FTlHOSxG%2FX4P0ZUxRutQShQGK3D1JzwDPfq3UQNyHSQgZEWhT%2B8z%2FHSt8j6UOXxA5xM3oY1wyyOEO%2FtvumD8w1RHyaKt7qB%2F8aHjX8caBqNBIMNvP6NNHkfRVd8iYxYfPAERvtEcHVwd9lPSJuq1xkgd5nkiaLWT7UKda%2BK4zKs5RaoiGjQ%3D%3D%7Ctkp%3ABk9SR4DF1P6UZw
19,#CPA-TS,2025 Bowman Draft #CPA-TS Tate Southisene Chrome Prospect Autographs,$12.50,"Feb 28, 2026",https://www.ebay.com/itm/127701731852?_skw=2025+bowman+%23CPA-&itmmeta=01KJKYN48QNGG0GD57AXKSWCJD&hash=item1dbb9dca0c:g:sSMAAeSwb-FpmlDS&itmprp=enc%3AAQALAAAA0GfYFPkwiKCW4ZNSs2u11xA4gGwGdoEoX12lVcz2yZOeWUX%2BVDCDiAUKq9Kl1K1UpTWfKgsZQXoUWRriwrYgTnamOP1%2FQrKMPJtxI6SS5TWo9n4DsvAw7ClM0OxY6Ck4FMiJ5DhzOBKb8DYEXsVYbUA%2FyacB4e08cO5Qy2q1Fxf9IQ5fZHm%2Bq5UyXPuML51h6vrNYg7JdELPxDdHPoloN39CJvsZe5sXJRiYKPY5636tvULsA1WOJtIQaBbT5Cifg4QBPA3IsOuX8sfzWtsTltI%3D%7Ctkp%3ABk9SR4LF1P6UZw
20,#CPA-CS,2025 Cade Smith 1st Bowman Chrome Auto #CPA-CS New York Yankees Minor Scratch,$8.99,"Feb 28, 2026",https://www.ebay.com/itm/116928043290?_skw=2025+bowman+%23CPA-&epid=17086337192&itmmeta=01KJKYN48Q7SC8M6VTRDP9K2R2&hash=item1b3974591a:g:fD8AAeSwITNpPul6&itmprp=enc%3AAQALAAAA0GfYFPkwiKCW4ZNSs2u11xA0zpuM5WmXZ%2F8a3i3OE6HnCwQ%2FC8cn4qjnvwuublz9EUvkUBlIpiY%2B%2BPc0QiQz%2FuHTDcUXS3z1vlkjmtkTWk7GdkEiu18xdKRqw17jZwxmfA9rIhw2L0HrZJopw9bzd7RCxVWSW%2Be5%2FY8F5gJhKpqcoGxc0lZwzu5bJ7X2vt6jgTw0YS2CnACiWHbHDKr4%2FdpOw%2BXoiWpO57pnPA2busUk1FPq%2B9XMF2i%2B%2FmbLdZa1vmhvZ%2FEvIW6lBMaXqNN1X04%3D%7Ctkp%3ABk9SR4LF1P6UZw
21,#CPA-EHE,2025 Bowman Draft Chrome Ethan Hedges Auto 1st Prospect #CPA-EHE Rockies,$5.99,"Feb 28, 2026",https://www.ebay.com/itm/188069527310?_skw=2025+bowman+%23CPA-&itmmeta=01KJKYN48QDW0XKZ65AJR0VFSR&hash=item2bc9d13f0e:g:80YAAeSwVQlplQ1v&itmprp=enc%3AAQALAAAA8GfYFPkwiKCW4ZNSs2u11xAXR4SyB78kXnYaGjiVTTSn2UMH44CKfe6He%2BIS11ICFLc8ZeCVGohGp9qbIySgUiazfyHPdnVkdxaL5JYDrAuV8hmqoTEbcnyZlrihJvbPGzyhojdqYdsY4SvKv1vIv5F%2FukkA4FI7wYt00bXGTcB6%2FPGvbgZxZ2wAyilUhT31hL6mceie6RFfp%2Fal8taRwX5x3KCbC0Z2l5M289Y7RGP53l4VlyU78qToMrXCXdDmt676ah0O4i2eiF%2F5rCrVVrhu56qm%2Brn9dKNJzo7OtXlU4scmLLOzje%2F5z%2FIdpRJH0Q%3D%3D%7Ctkp%3ABk9SR4LF1P6UZw
22,#CPA-AG,Topps 2025 Bowman Chrome Asbel Gonzalez Autograph Rookie #CPA-AG Royals Baseball,$5.00,"Feb 28, 2026",https://www.ebay.com/itm/389679991709?_skw=2025+bowman+%23CPA-&epid=21086336898&itmmeta=01KJKYN48QBTZ9F7P91B7W0EYP&hash=item5ababccb9d:g:UnoAAeSwplZpolgX&itmprp=enc%3AAQALAAAA0GfYFPkwiKCW4ZNSs2u11xB4YKEeHkVylkW2IIr5gzcu%2BMBP3IVw2Y5Z3fOVUxrXZk4LqvTuiCOYU7JL0hgMMiKR5oPaKlyya0wlyMQ%2BkNC5Vt%2BZRH7L4oKixE%2BnRytoWAD8b7%2FfSBkC9QWWimbQqe9VuyBslkHNiGAlVm9%2Bd2DqQSP003RsWSbqwEuiP%2Fe%2BEfg8ErgS1%2Fe68GwHNmGbnAKCx6La2R5mqJWSeRzuW6pN9QomQHXaQXmARcWQFOiYgZ3QydG5nNi%2BoK%2FxHZA56fM%3D%7Ctkp%3ABk9SR4LF1P6UZw
23,#CPA-DT,2025 Bowman Draft Devin Taylor Chrome Auto 1st Prospect #CPA-DT Athletics,$20.51,"Feb 28, 2026",https://www.ebay.com/itm/127701162234?_skw=2025+bowman+%23CPA-&itmmeta=01KJKYN48Q9T1T109MQBCBV9EF&hash=item1dbb9518fa:g:NS8AAeSw5AlpnLtZ&itmprp=enc%3AAQALAAAA8GfYFPkwiKCW4ZNSs2u11xDrNaTBcrg4gODM8rvo664NZgmnkk2I3sAPxjsYvhgnljt2onxzJ0OIs%2FtZofD%2FrHaCd2Vd9ZXR5%2FFmrICN6QaDbM894RmlrJ0XC%2BpfpJ%2BtEAy4dOaWruHdWAKxQwxGnbuIvNOVw5vFqmlkbyn0z3QKa2flGkqtbWXN4zF6wwAEg3zkvBJ6UG7OknwMku%2FbvjVzBu1hbVQt7AiwUIp0FCSHw2JlPSwUetdTVg0L%2FTXoGqyAoVoWY%2ByqgaABbDr8ToS6UpmZa%2BcMVykLrD%2BRh7r4w2OFMvaLJOKAKB49vHS%2BOg%3D%3D%7Ctkp%3ABk9SR4LF1P6UZw
24,#CPA-TS,2025 Bowman Draft Tate Southisene Chrome Auto 1st Prospect #CPA-TS Braves,$19.01,"Feb 28, 2026",https://www.ebay.com/itm/127701162236?_skw=2025+bowman+%23CPA-&itmmeta=01KJKYN48QE0NZ5KGW3DA9G8MS&hash=item1dbb9518fc:g:A1MAAeSwpRtpnLrj&itmprp=enc%3AAQALAAAA0GfYFPkwiKCW4ZNSs2u11xAXp42W48A0KUKcVYrn1ZkvAzhpXXO7nCX3X7ho%2FnMCAu6UyzfnWTkVQkCRrL%2Fxo9STAntF0c4B%2FitCF9%2Fmu51SPkV1mKGDhTb4rPXg3tScTtigUh5u%2FjZqRhtRH8wVdsiLyUY%2F6pC%2FMgaz28Jr4gNWydoZlpxJbrpliMa1yeyHfIy0CyEIxMy5BY9Noy5Yfyx4TS7YD8OMyyKD6jwBt6GBj9m%2BWkc3DlqFyDRDT4HscbdkC%2FVwgzNA7zPiVgUT7wg%3D%7Ctkp%3ABk9SR4LF1P6UZw
25,#CPA-BC,BILLY CARLSON 2025 BOWMAN CHROME DRAFT 1ST WHITE SOX #CPA-BC AUTO,$52.00,"Feb 28, 2026",https://www.ebay.com/itm/117044274862?_skw=2025+bowman+%23CPA-&itmmeta=01KJKYN48Q6D2VF740X6D1WJ17&hash=item1b4061e6ae:g:8YUAAeSw6m9plebC&itmprp=enc%3AAQALAAAA8GfYFPkwiKCW4ZNSs2u11xBMqtM351rlKRda3VLutbRhEXnFIQh0p5%2FUVqQ8Xsv2Uqk37OVJlBw2YWzKMnAjOiNZzs0I0QXsHuuv6viJTQ3i9kON3DsIecw%2B1%2Bt0lTH9OANsLoPC1czHDkQ0LV6iCabtgzkknjmAFxmw2MLNozrMAY2pcd5uOli4GU7D83dxI1tj8FjOMI%2FXFi2tyq9bNKWB3hoOxMB2mqESpicy81l6UzFp%2FUXl2TxQ%2BPzFtzwkvySDsEZrPEyArw0mr10pkqKigr8wvRGD5lO%2FyBxugnWyG0Q8bfV7wgRk2FcLjxhg6g%3D%3D%7Ctkp%3ABk9SR4LF1P6UZw
26,#CPA-CS,2025 Bowman Draft Chase Shores Auto Base CPA-CS,$2.25,"Feb 28, 2026",https://www.ebay.com/itm/257372532141?_skw=2025+bowman+%23CPA-&itmmeta=01KJKYN48QDMNDC4GAAS7AQBP1&hash=item3bec992dad:g:j9cAAeSwszlpiRGk&itmprp=enc%3AAQALAAAA0GfYFPkwiKCW4ZNSs2u11xDJRoTkEYI3sTk7x1QufbpisvLy%2B9ipJBy%2F2%2BDF5mi3UxoGQJQz2VX81k%2FpWnlEgLln9zTgELLWcSyLfwhB%2F2auNabTduXRY2M2FRyZ88q2MS6aLZWP5nB9rDFUmgv4Du895%2FEqeobrdcwCaHvByQ5yDcKZfeSR1C7%2FiLxcwqzvKfRvH4zYi1n5UsGxYVSD5WrRdUByqMLWnW30o7PytlaEj6LcUy3szqj6VidvayOXwxxwQ%2BA2BN0VB7Mo1wPfKsc%3D%7Ctkp%3ABk9SR4LF1P6UZw
